,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.9337960617959713,0.7066608008818667,0.35405239653006815,0.3945083157047655,0.3210529923181228
std,0.06220171835885259,0.16515452599631944,0.23073329421331673,0.21299159679026827,0.20483786139515603
min,0.8464105206339859,0.48019510554200656,0.15960056921340596,0.2253545316256931,0.19279141104294478
25%,0.9114007653118176,0.6364713338315637,0.24911863696835196,0.29559653927958485,0.2189012959299328
50%,0.9521418580173262,0.752545280247663,0.28393220359370164,0.32314880403846946,0.23221504394723552
75%,0.97453715450148,0.8227347472979659,0.3888659631554178,0.42206058046365014,0.33436674033542546
max,0.9844900105152471,0.8413575374901342,0.6887446097194632,0.7063811231164301,0.6269904703350753
