,test,train
accuracy,0.953163771712,1.0
auc score,0.725268275234,1.0
confusion matrix,"[[6144   56]
 [ 246    2]]","[[10471     0]
 [    0   909]]"
f1,[ 0.97601271  0.0130719 ],[ 1.  1.]
mcc,-0.00197113704573,1.0
precision,[ 0.96150235  0.03448276],[ 1.  1.]
recall,[ 0.99096774  0.00806452],[ 1.  1.]
support,[6200  248],[10471   909]
