,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.8840499175069607,0.4855758423922729,0.45386369661339077,0.4822851232386488,0.4685457212685458
std,0.07418088821588775,0.2100597928986728,0.27489387220893163,0.26091048295454955,0.25763285776697403
min,0.7745227930712989,0.2645698427382054,0.15354040924481083,0.20015702438785024,0.19518788343558283
25%,0.8752158717694021,0.32696457781805444,0.254079108620351,0.29057553369948624,0.2759979806411614
50%,0.9114358511436144,0.5018501888298078,0.48665756168446717,0.5091147256307149,0.48663860134189474
75%,0.9202698968811731,0.6604614534040263,0.6864421496775068,0.7008243151698774,0.6791863419692792
max,0.9388051746693153,0.6740331491712708,0.6885992538398178,0.7107540173053152,0.7057177989548109
