,test,train
accuracy,0.696493581146,0.654773733177
auc score,0.753566246253,0.694823866182
confusion matrix,"[[2290  732]
 [ 852 1345]]","[[5614 2789]
 [1033 1635]]"
f1,[ 0.74302401  0.62938699],[ 0.74604651  0.46108291]
mcc,0.373175408079,0.245279937302
precision,[ 0.72883514  0.64756861],[ 0.84459155  0.36957505]
recall,[ 0.75777631  0.61219845],[ 0.66809473  0.61281859]
support,[3022 2197],[8403 2668]
