,test,train
accuracy,0.579804560261,1.0
auc score,0.684138247688,1.0
confusion matrix,"[[2137  232]
 [1961  889]]","[[7350    0]
 [   0 3721]]"
f1,[ 0.66089377  0.44774616],[ 1.  1.]
mcc,0.259433654489,1.0
precision,[ 0.52147389  0.79304193],[ 1.  1.]
recall,[ 0.90206838  0.31192982],[ 1.  1.]
support,[2369 2850],[7350 3721]
