,test,train
accuracy,0.693044644568,0.641315147683
auc score,0.766979034754,0.664469612623
confusion matrix,"[[1924  445]
 [1157 1693]]","[[5056 2294]
 [1677 2044]]"
f1,[ 0.70605505  0.67882919],[ 0.71802883  0.50725897]
mcc,0.411231856603,0.229535483231
precision,[ 0.62447257  0.79186155],[ 0.75092826  0.47118488]
recall,[ 0.81215703  0.59403509],[ 0.68789116  0.5493147 ]
support,[2369 2850],[7350 3721]
