,VR,VFA,RPA,RCA,OA
Wolf_DieBekherte,0.9944764765734774,0.6897653687662938,0.6887446097194632,0.7092397887494549,0.550384260682447
Mozart_BesterJungling,0.9738095238095238,0.795108058301223,0.5089147286821706,0.5534330011074197,0.3879258617241149
Schumann_Mignon,0.9978011146074232,0.8724406116078515,0.6535997270349168,0.6772946127307882,0.43400768585184857
Handel_TornamiAVagheggiar,0.9804199643167574,0.8751585432143504,0.6352532137792214,0.649114781097031,0.41526967930029157
Schubert_Erstarrung,0.9836430253860245,0.7737186477644493,0.16729913635174037,0.22023030620256479,0.19618774202163172
MusicDelta_Gospel,0.9865266042475451,0.34366985311261367,0.7897921899977164,0.7926467229961178,0.7459186019774661
Debussy_LenfantProdigue,0.9803645947726773,0.6107617051013278,0.22899187349000658,0.3156600043927081,0.294499558510362
Mozart_DiesBildnis,0.9612034199064365,0.6268738075769965,0.23773995805775125,0.3165833198903049,0.2880776246453182
