,VR,VFA,RPA,RCA,OA
count,8.0,8.0,8.0,8.0,8.0
mean,0.9822805904524832,0.6984370744306382,0.4887919296391233,0.5292753171457986,0.414033876839185
std,0.011542778990563135,0.1753623001657723,0.24304040041250638,0.2154678356729762,0.17214253887892364
min,0.9612034199064365,0.34366985311261367,0.16729913635174037,0.22023030620256479,0.19618774202163172
25%,0.978725827031889,0.6228457819580793,0.23555293691581508,0.3163524910159057,0.2928940750441011
50%,0.982031494851391,0.7317420082653716,0.572083971230696,0.6012738911022253,0.40159777051220324
75%,0.9885140723290282,0.8144411966278802,0.6623859477060534,0.6852809067354548,0.4631018295594982
max,0.9978011146074232,0.8751585432143504,0.7897921899977164,0.7926467229961178,0.7459186019774661
