,test,train
accuracy,0.923088366558,1.0
auc score,0.707245164813,1.0
confusion matrix,"[[6184   72]
 [ 445   21]]","[[8565    0]
 [   0 1441]]"
f1,[ 0.95987582  0.07513417],[ 1.  1.]
mcc,0.0729690353446,1.0
precision,[ 0.93287072  0.22580645],[ 1.  1.]
recall,[ 0.98849105  0.04506438],[ 1.  1.]
support,[6256  466],[8565 1441]
