,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.8534201258209331,0.42716923541305096,0.45041661445155673,0.47511316954198535,0.4860006989865938
std,0.11900628758076236,0.19174276828623218,0.2851409746746433,0.2729590768118253,0.26089690909948493
min,0.6805780460277737,0.2025060970481877,0.13410864124834387,0.17996466951273368,0.1920628834355828
25%,0.8219583916331265,0.30080840858361846,0.24685523602186515,0.2746835964002654,0.30444519387877583
50%,0.8991593976284153,0.4526995250909924,0.48659102199958437,0.5011587138455271,0.5117215701502625
75%,0.930621131816222,0.5790603519204249,0.690152400429276,0.701588286987247,0.6932770752580807
max,0.9347836619991279,0.6007717944220312,0.6943757725587144,0.7181705809641533,0.7284967722102674
