,test,train
accuracy,0.928194789082,1.0
auc score,0.729308047907,1.0
confusion matrix,"[[5976  121]
 [ 342    9]]","[[10193     0]
 [    0  1187]]"
f1,[ 0.9627064   0.03742204],[ 1.  1.]
mcc,0.00935445702883,1.0
precision,[ 0.94586895  0.06923077],[ 1.  1.]
recall,[ 0.98015417  0.02564103],[ 1.  1.]
support,[6097  351],[10193  1187]
