,VR,VFA,RPA,RCA,OA
MatthewEntwistle_DontYouEver,0.8724343675417661,0.37959509856153434,0.2918854415274463,0.42756563245823387,0.4802464107524692
MatthewEntwistle_FairerHopes,0.6654988739141315,0.4054144947032117,0.10299217102205699,0.24924033889822328,0.3289155928208497
MatthewEntwistle_TheArch,0.9538384345208228,0.3935874681688402,0.5865529352734571,0.6047165077772203,0.597779619612633
MatthewEntwistle_Lontano,0.7339114145869841,0.5753920386007237,0.12435796724877636,0.1974137410115415,0.23102695963846034
MusicDelta_Gospel,0.9788764558118291,0.2809512706924691,0.7824845855218087,0.7853391185202101,0.7616310262895685
MatthewEntwistle_TheFlaxenField,0.7644536373726163,0.5503480924533556,0.19170618504691755,0.25718898193925943,0.3579092801263188
MatthewEntwistle_ImpressionsOfSaturn,0.8354151359294636,0.5373651853900316,0.18791329904482,0.23738672544697526,0.39179994000726226
