,test,train
accuracy,0.973014888337,1.0
auc score,0.714060804147,1.0
confusion matrix,"[[6273   21]
 [ 153    1]]","[[10714     0]
 [    0   666]]"
f1,[ 0.98632075  0.01136364],[ 1.  1.]
mcc,0.00826639199378,1.0
precision,[ 0.97619048  0.04545455],[ 1.  1.]
recall,[ 0.99666349  0.00649351],[ 1.  1.]
support,[6294  154],[10714   666]
