,test,train
accuracy,0.869898447979,1.0
auc score,0.665449333925,1.0
confusion matrix,"[[4539   11]
 [ 668    1]]","[[10276     0]
 [    0   795]]"
f1,[ 0.93040894  0.00293686],[ 1.  1.]
mcc,-0.00644092986439,1.0
precision,[ 0.87171116  0.08333333],[ 1.  1.]
recall,[ 0.99758242  0.00149477],[ 1.  1.]
support,[4550  669],[10276   795]
