,test,train
accuracy,0.68408808933,0.702392076247
auc score,0.674389746928,0.764297614837
confusion matrix,"[[3679 1492]
 [ 545  732]]","[[4907 2058]
 [1127 2610]]"
f1,[ 0.78318254  0.41816624],[ 0.75498115  0.62105889]
mcc,0.23868213388,0.387345502334
precision,[ 0.87097538  0.32913669],[ 0.81322506  0.55912596]
recall,[ 0.7114678   0.57321848],[ 0.70452261  0.69842119]
support,[5171 1277],[6965 3737]
