,test,train
accuracy,0.741004962779,1.0
auc score,0.639584548307,1.0
confusion matrix,"[[4364  807]
 [ 863  414]]","[[6965    0]
 [   0 3737]]"
f1,[ 0.83939219  0.33146517],[ 1.  1.]
mcc,0.171023558324,1.0
precision,[ 0.83489573  0.33906634],[ 1.  1.]
recall,[ 0.84393734  0.32419734],[ 1.  1.]
support,[5171 1277],[6965 3737]
