,test,train
accuracy,0.707798428818,0.65721253726
auc score,0.766104820928,0.729954152907
confusion matrix,"[[2592  979]
 [ 546 1102]]","[[5982 3136]
 [ 659 1294]]"
f1,[ 0.7726934   0.59104318],[ 0.75918523  0.40545198]
mcc,0.374539926382,0.247899837486
precision,[ 0.82600382  0.5295531 ],[ 0.90076796  0.29209932]
recall,[ 0.7258471   0.66868932],[ 0.65606493  0.6625704 ]
support,[3571 1648],[9118 1953]
