,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.793770548245539,0.49901484726712275,0.2774977690077581,0.34630883516135375,0.3550931453013209
std,0.17838767454669138,0.1267764520508566,0.23769750122993738,0.18982871396993561,0.15894112765267573
min,0.5805240767883316,0.4144995755845358,0.039037643441890396,0.1802094877203017,0.24976150456548404
25%,0.6867558518610721,0.4290620891206169,0.1475815326810884,0.24924413899834852,0.2733810457574912
50%,0.8060096150462347,0.44725188779959413,0.23567741875317605,0.2933307889813724,0.2894911080285022
75%,0.9130243114307015,0.5172046459460999,0.3655936550798457,0.39039548514437755,0.37120320757233183
max,0.9825388861013548,0.6870560378847672,0.5995985950827898,0.6183642749623683,0.5916288605827953
