,test,train
accuracy,0.700134125311,0.999909673923
auc score,0.722438864994,1.0
confusion matrix,"[[3470  101]
 [1464  184]]","[[9118    0]
 [   1 1952]]"
f1,[ 0.81599059  0.19037765],[ 0.99994517  0.99974392]
mcc,0.170547821375,0.999689132797
precision,[ 0.70328334  0.64561404],[ 0.99989034  1.        ]
recall,[ 0.97171661  0.11165049],[ 1.          0.99948797]
support,[3571 1648],[9118 1953]
